Perfume;Brand;Gender;Age_Group;Top;Middle;Base
accento-overdose-pride-edition;xerjoff;unisex;Mature (40+);fruity notes, aldehydes, green notes;bulgarian rose, egyptian jasmine, lily-of-the-valley;eucalyptus, pine
classique-pride-2024;jean-paul-gaultier;women;Adult (25-40);yuzu, citruses;orange blossom, neroli;musk, blonde woods
classique-pride-2023;jean-paul-gaultier;unisex;Adult (25-40);blood orange, yuzu;neroli, orange blossom;musk, white woods
pride-edition-man;bruno-banani;men;Youth (15-25);guarana, grapefruit, red apple;walnut, lavender, guava;vetiver, benzoin, amber
le-male-pride-collector;jean-paul-gaultier;men;Adult (25-40);mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean
le-male-pride-2023;jean-paul-gaultier;men;Adult (25-40);yuzu, blood orange;neroli, orange blossom;musk, white woods
le-male-pride-2024;jean-paul-gaultier;men;Adult (25-40);citruses, yuzu;neroli, orange blossom;woodsy notes, musk
polo-red-pride-edition;ralph-lauren;men;Adult (25-40);cranberry, pink grapefruit, citron;clary sage, lavender, saffron;amberwood, brazilian redwood, coffee
ralph-pride-edition;ralph-lauren;women;Youth (15-25);tangerine, green apple, freesia;magnolia, lime (linden blossom), osmanthus;musk, white iris
waffle;we-pink;women;Youth (15-25);strawberry, almond, raspberry;butter, peach blossom, violet;praline, vanilla, musk
le-male-pride-edition;jean-paul-gaultier;men;Adult (25-40);blood orange, yuzu;neroli, orange blossom;musk, white woods
rouge-imperiale;vivamor-parfums;unisex;Adult (25-40);saffron, bulgarian rose;australian sandalwood, iris, jasmine;suede, bourbon vanilla, texas cedar
cherry-lady;brocard;women;Youth (15-25);watermelon, mango, papaya, pineapple, peach, lemon;lotus, hibiscus;musk, sandalwood, amber
french-kiss;bybozo;women;Adult (25-40);lemon verbena, neroli;fig, corn, magnolia, saffron, barberry, cherry blossom;pear wood, meringue, amber
erba-oud;sospiro-perfumes;unisex;Mature (40+);orange, bergamot, lemon;melon, saffron, peach, apple;agarwood (oud), leather, vanilla, amber, white musk
